letterp,id,letterh,letterh2,nazwa,wartoscnumeryczna,opis,pronunciation
"b,v",2,ב,"",bet,2,,
?,1,א,"",alef,1,,
d,4,ד,"",dalet,4,,
g,7,ג,"",gimel,3,,
h / a,5,ה,"",he,5,,
z,24,ז,"",zajin,7,,
v / u,23,ו,"",waw,6,,
x / h,8,ח,"",Chet,8,,
k,26,כך,"",kaf,20,,
t,19,ט,"",Tet,9,,
l,12,ל,"",lamed,30,,
j / i,25,י,"",jod/jud,10,,
n,14,נן,"",nun,50,,
t,30,ת,"",taw,400,,
"a,i",28,ע,"",ajin/ain,70,,
"p,f",16,פף,"",pe,80,,
r,17,ר,"",resz,200,,
"sz,s",29,ש,"",szin,300,,
"k,q",11,ק,"",kof/kuf,100,,
c,3,צץ,"",cadi/cade/sade,90,,
m,27,מם,"",mem,40,,
s,18,ס,"",samech,60,,""
