hebrew,pronunciation,polish,description
"",toda raba,dziekuje bardzo,""
"",tov,dobry,""
"",boker,dzien,""
"",nifla,pięknie,""
"",ma slomha,jak sie masz,""
"",baavoda,w pracy,""
"",avoda,praca,""
"",beseder,w porządku,""
"",hakol,wszystko,""
"",ma korech,co sie dzieje,""
"",yom,dzień,""
"",sababa,miły,""
"",bevakasha,proszę,""
"",ata zodek,masz rację,""
"",vechag sameach,wesołego święta,""
"",lirkaw,jechać,""
"",beboker zeh,tego ranka,""
"",toda raba al hahesberg,dziekuje bardzo za wyjaśnienia,""
"",hahesberg,wyjaśnienia,""
"",hakol,wszystko,""
"",ve ata,i ty,""
"",yom,dzień,""
"",hayom,dzisiaj,""
"",sababa,miły,""
"",ve,i,""
"",laila,noc,""
"",skaket,cicha,""
"",ani holech leechol aruchat erev,ide zjesc kolacje,""
"",beteavon,powtórz,""
"",ata owed,czy ty pracujesz,""
"",sameach,wesoły,""
"",eich avar halajla,jak mineła noc,""
"",tov meod,bardzo dobrze,""
"",mamad,schron,""
"",lecha,tobie,""
"",ken,tak,""
"",lo,nie,""
"",gam,też,""
"",yom tow,dobrego dnia,""
"",aruchat boker,śniedanie,""
"",baruch hashem,dzięki Bogu,""
"",yom rishon meworach,błogosławiona niedziela,""
"",al lo davar,nie ma za co,""
"",vegam avoda neima,i tez miłej pracy,""
"",ata mevin,rozumiesz,""
"",bedijur,dokładnie,""
"",nach,odpoczyć,""
"",avadeta kasze,pracowałeś ciężko,""
"",kasze,ciężko,""
"",az magiha lecha,to ci sie należy,""
"",bait,dom,""
"",babait,w domu,""
"",veavoda neima,i pracy miłej,""
"",ani mekaveh,ja mam nadzieje,""
"",szeta lo ayef kvar,ze ty nie jestes juz zmeczony,""
"",ani lo ayef kvar,ja nie jestem juz zmeczony,""
